"nrw_name","nrw_binom","key"
"Alle alle","Alle alle","alle alle"
"Anas carolinensis","Anas carolinensis","anas carolinensis"
"Aquila fasciata","Hieraaetus fasciatus","hieraaetus fasciatus"
"Branta ruficollis","Branta ruficollis","branta ruficollis"
"Buteo rufinus","Buteo rufinus","buteo rufinus"
"Curruca cantillans","Sylvia cantillans","sylvia cantillans"
"Falco cherrug","Falco cherrug","falco cherrug"
"Falco eleonorae","Falco eleonorae","falco eleonorae"
"Glareola nordmanni","Glareola nordmanni","glareola nordmanni"
"Gulosus aristotelis","Phalacrocorax aristotelis","phalacrocorax aristotelis"
"Microcarbo pygmaeus","Phalacrocorax pygmeus","phalacrocorax pygmeus"
"Otis tarda","Otis tarda","otis tarda"
"Vanellus gregarius","Vanellus gregarius","vanellus gregarius"
